,source,target,value
868,Colin,Ron,3
869,Colin,Slytherin,2
870,Ludo,one,6
871,Fleur,Fleur,11
872,Bagman,Rita,4
873,Dumbledore,Rita,25
874,Ludo,Rita,25
875,Harry,Rita,245
876,Rita,second,10
877,Rita,three,4
878,Rita,Rita,9
879,Albus,Rita,13
880,Cedric,Ludo,5
881,Cedric,Rita,5
882,Harry,Ollivander,73
883,Dumbledore,Ollivander,7
884,Fleur,Ollivander,14
885,Ollivander,Ron,2
886,Diggory,Fleur,10
887,Ollivander,Ollivander,4
888,Cedric,Ollivander,6
889,Krum,Ollivander,11
890,Ollivander,Viktor,5
891,Gregorovitch,Ollivander,4
892,Gregorovitch,Harry,1
893,Hagrid,Ollivander,9
894,Krum,Rita,1
895,Hermione,Rita,20
896,Rita,two,1
897,Colin,one,2
898,Muggle,one,5
899,Colin,Hermione,1
900,Pansy,Rita,3
901,Rita,Slytherin,3
902,Rita,Snape,6
903,Ernie,Macmillan,6
904,Hannah,Macmillan,6
905,Cedric,Hannah,1
906,Cedric,Cho,48
907,Hannah,one,1
908,one,one,4
909,Hagrid,Krum,10
910,Hagrid,Hedwig,6
911,Creevey,Hermione,1
912,Charlie,Hagrid,34
913,McGonagall,O.W.L.,4
914,Harry,O.W.L.,2
915,Dudley,Hogwarts,1
916,Cedric,Dudley,4
917,Cedric,Snape,3
918,Cedric,Hagrid,10
919,Peeves,Ron,1
920,Hermione,Peeves,3
921,Neville,Trevor,6
922,Harry,Trevor,3
923,Bagman,McGonagall,12
924,Fleur,three,3
925,Bagman,Diggory,9
926,Diggory,Hagrid,2
927,Charlie,Diggory,1
928,McGonagall,second,1
929,Cedric,Charlie,1
930,Bagman,Charlie,1
931,Ludo,second,2
932,Cedric,Dean,3
933,Fred,Seamus,4
934,Neville,Percy,4
935,Fred,Neville,16
936,Crabbe,Hagrid,1
937,Crabbe,Goyle,6
938,Hagrid,Rita,41
939,Dean,one,4
940,Lavender,one,3
941,Seamus,one,1
942,one,second,15
943,Dobby,Dumbledore,45
944,Dumbledore,Winky,41
945,Dobby,two,9
946,Crouch,Dobby,9
947,Dobby,one,3
948,Hogwarts,Winky,1
949,Crouch,Hogwarts,9
950,Dobby,Percy,1
951,McGonagall,Neville,5
952,McGonagall,Vernon,2
953,Cho,Krum,2
954,Hagrid,Snape,4
955,Dumbledore,Madam,5
956,Harry,Madam,10
957,McGonagall,Percy,9
958,Joey,second,1
959,Harry,Joey,5
960,Angelina,Fred,17
961,Alicia,Angelina,2
962,Alicia,Harry,2
963,Alicia,George,4
964,Cho,Peeves,2
965,Moaning,Ron,3
966,Moaning,second,6
967,Harry,Moaning,29
968,Cho,Snape,3
969,Fleur,Ginny,5
970,Cho,Diggory,4
971,Ginny,Neville,20
972,Hermione,Neville,15
973,Parvati,Parvati,15
974,Hermione,Parvati,7
975,Padma,Parvati,27
976,Harry,Padma,16
977,Fleur,Hagrid,13
978,Dudley,Hagrid,1
979,Dobby,Seamus,5
980,Dobby,Neville,2
981,Dobby,Uncle,5
982,Ron,Uncle,1
983,George,Violet,2
984,Dean,two,5
985,Padma,Ron,49
986,Fleur,Roger,26
987,Roger,Ron,11
988,Malfoy,Roger,1
989,Malfoy,Pansy,11
990,McGonagall,Padma,8
991,Cedric,McGonagall,1
992,Krum,Parvati,5
993,Hermione,Pansy,5
994,Hermione,Padma,9
995,Dumbledore,Hermione,18
996,Krum,Ludo,12
997,Dumbledore,Padma,7
998,Dumbledore,Igor,6
999,Dumbledore,Roger,2
1000,Harry,Roger,11
1001,Fleur,one,4
1002,Dean,Parvati,6
1003,Parvati,one,5
1004,Neville,Parvati,3
1005,Dumbledore,Neville,22
1006,Mad-Eye,Neville,1
1007,Dobby,Parvati,1
1008,Angelina,Padma,2
1009,Krum,Padma,5
1010,Cho,Parvati,2
1011,Cedric,Parvati,4
1012,Ron,Vicky,8
1013,Harry,Vicky,8
1014,Padma,Vicky,1
1015,Padma,Percy,6
1016,Hagrid,Ludo,1
1017,George,Percy,1
1018,Bagman,Zonko,3
1019,Percy,Zonko,4
1020,Barty,Percy,2
1021,Ali,Harry,1
1022,Ali,Percy,2
1023,Ali,Ron,3
1024,Ron,Severus,2
1025,Severus,one,1
1026,Fawcett,Snape,6
1027,Roger,one,1
1028,Boris,Cedric,11
1029,Boris,Harry,5
1030,Albus,Hagrid,10
1031,Dumbledore,Rubeus,6
1032,Mad-Eye,Rubeus,1
1033,Hagrid,Mad-Eye,1
1034,Hagrid,Rubeus,2
1035,Fridwulfa,Hagrid,9
1036,Fridwulfa,Muggle,7
1037,Fridwulfa,one,8
1038,Hermione,three,12
1039,Barty,Bertha,3
1040,Bertha,Bertha,10
1041,Bagman,second,8
1042,Bagman,Sirius,6
1043,Bozo,Rita,1
1044,Bozo,Ludo,5
1045,Bozo,Harry,2
1046,Hermione,Ludo,4
1047,Dumbledore,Granger,7
1048,Granger,Hagrid,5
1049,Aberforth,Dumbledore,3
1050,Aberforth,Aberforth,1
1051,Aberforth,Hagrid,2
1052,Hogwarts,second,5
1053,Boris,Ron,1
1054,Harry,Myrtle,62
1055,Myrtle,one,6
1056,Myrtle,Ron,6
