,source,target,value
522,Neville,twenty,5
523,Snape,Weasley,12
524,Ron,Seamus,15
525,Dean,Ron,61
526,Dean,Snape,2
527,Seamus,Snape,12
528,Harry,Jack,5
529,Jack,one,3
530,Hermione,Snape,16
531,Goyle,O.W.L.,6
532,Malfoy,O.W.L.,11
533,Goyle,Snape,3
534,O.W.L.,one,1
535,Ernie,one,9
536,Ernie,Harry,74
537,Ernie,Ron,25
538,Ernie,Hermione,16
539,McGonagall,two,8
540,Slughorn,two,18
541,Hermione,Slughorn,47
542,Slughorn,second,14
543,Hermione,Muggle,4
544,Granger,Granger,1
545,Granger,Muggle,2
546,Muggle,Nott,5
547,Slughorn,twenty,4
548,Malfoy,twenty,1
549,Malfoy,Nott,5
550,Ernie,Slughorn,17
551,Granger,Slughorn,5
552,Slughorn,Terry,6
553,Michael,Slughorn,1
554,Harry,Michael,7
555,Felix,Slughorn,2
556,Felix,Harry,14
557,Malfoy,Slytherin,15
558,Slughorn,one,29
559,Harry,Riddle,110
560,Ginny,Riddle,2
561,Dumbledore,Fawkes,25
562,Fawkes,Harry,17
563,Bob,Dumbledore,8
564,Bob,Harry,7
565,Harry,Ogden,59
566,Ogden,Ogden,9
567,Dumbledore,Ogden,19
568,Ogden,two,4
569,Ogden,one,4
570,Gaunt,Ogden,81
571,Gaunt,Gaunt,9
572,Gaunt,Morfin,17
573,Harry,Morfin,12
574,Gaunt,Harry,61
575,Morfin,Ogden,8
576,Gaunt,three,14
577,Harry,Merope,47
578,Merope,Ogden,25
579,Gaunt,Merope,30
580,Muggle,Ogden,23
581,Merope,Muggle,18
582,Merope,one,14
583,Gaunt,Muggle,45
584,Merope,two,5
585,Gaunt,two,9
586,Ministry,Ogden,4
587,Gaunt,Ministry,3
588,Ogden,Peverell,5
589,Gaunt,second,5
590,Ogden,second,1
591,Morfin,Muggle,19
592,Gaunt,Tom,3
593,Cecilia,Tom,3
594,Cecilia,Harry,3
595,Merope,Morfin,10
596,Gaunt,Salazar,2
597,Muggle,Salazar,4
598,Salazar,two,2
599,Merope,Salazar,1
600,Harry,Marvolo,41
601,Marvolo,Ogden,10
602,Marvolo,Muggle,8
603,Dumbledore,Marvolo,13
604,Marvolo,Morfin,6
605,Dumbledore,Morfin,22
606,Marvolo,Merope,5
607,Dumbledore,Merope,22
608,Merope,Merope,5
609,Gaunt,Marvolo,10
610,Dumbledore,Gaunt,2
611,Hermione,McGonagall,14
612,Grawp,Ron,9
613,Grawp,Harry,12
614,Pigwidgeon,Ron,4
615,Harry,Stan,41
616,Ron,Stan,3
617,Hannah,Harry,4
618,Abbott,Hannah,10
619,Abbott,Harry,1
620,Hannah,Lavender,4
621,Lavender,Parvati,24
622,Hannah,Parvati,1
623,Hogwarts,Parvati,4
624,Parvati,Ron,29
625,Hogwarts,Lavender,1
626,Parvati,two,6
627,Harry,Romilda,55
628,Katie,three,5
629,Demelza,Katie,5
630,Demelza,Ginny,16
631,one,three,11
632,Demelza,Harry,15
633,Harry,Jimmy,12
634,Harry,Ritchie,4
635,Demelza,three,1
636,Ginny,Ritchie,2
637,Katie,Ritchie,4
638,Ginny,Katie,19
639,Jimmy,Ritchie,1
640,Harry,Katie,103
641,Cormac,Ron,9
642,Harry,Lavender,64
643,Uncle,one,1
644,Buckbeak,Ron,7
645,Fang,Hagrid,16
646,Fang,Fang,3
647,Fang,Hermione,6
648,Fang,Harry,24
649,Aragog,Ron,23
650,Aragog,Harry,60
651,Aragog,Hagrid,31
652,Aragog,three,5
653,Hagrid,one,10
654,Slughorn,three,12
655,Bobbin,Slughorn,1
656,Bobbin,Melinda,5
657,Bobbin,Harry,4
658,Bobbin,Granger,1
659,Severus,Slughorn,10
660,Arthur,second,4
661,Dark,Lavender,2
662,Dark,Ron,7
663,Lavender,Malfoy,4
664,Demelza,Ron,11
665,Argus,Harry,7
666,Argus,Slughorn,1
667,Neville,Seamus,6
668,Seamus,Weasley,1
669,Lupin,Snape,35
670,Muggle,Ron,5
671,Ernie,Macmillan,13
672,Hermione,Macmillan,2
673,Macmillan,Muggle,2
674,Ernie,Muggle,1
675,Harry,Macmillan,5
676,Dark,Dean,3
677,Harry,Zonko,12
678,Ron,Zonko,3
679,Granger,three,2
680,Dumbledore,Ginny,46
681,Harry,Mundungus,4
682,Hermione,Mundungus,1
683,Katie,two,13
684,Dean,Madam,6
685,Katie,Madam,2
686,Katie,Leanne,45
687,Harry,Leanne,24
688,Leanne,two,1
689,Katie,Katie,12
690,Katie,Ron,26
691,Leanne,Ron,15
692,Hermione,Katie,20
693,Hagrid,Leanne,11
694,Hagrid,second,5
695,Hagrid,Katie,2
696,Katie,second,7
697,Borgin,Katie,8
698,Borgin,Leanne,2
699,Hermione,Leanne,14
700,Katie,McGonagall,24
701,Leanne,McGonagall,20
702,McGonagall,second,11
703,Dumbledore,McGonagall,28
704,Draco,Katie,12
705,Draco,one,6
706,Draco,Dumbledore,46
707,Katie,one,8
708,Malfoy,McGonagall,27
709,Borgin,McGonagall,7
710,Dumbledore,Katie,19
711,Hogwarts,Katie,6
712,Katie,Malfoy,5
713,Harry,Phineas,5
714,Hogwarts,Phineas,4
715,Draco,McGonagall,1
716,Draco,Muggle,1
717,Caractacus,one,5
718,Caractacus,Dumbledore,18
719,Caractacus,Merope,1
720,Harry,Merlin,6
721,Caractacus,Caractacus,4
722,Marvolo,one,5
723,Cole,Harry,23
724,Cole,two,9
725,Cole,Dumbledore,74
726,Dumbledore,Eric,5
727,Harry,Martha,1
728,Eric,Martha,5
729,Dumbledore,Martha,3
730,Albus,Cole,3
731,Cole,Tom,6
732,Dumbledore,Tom,50
733,Cole,one,5
734,Cole,Marvolo,6
735,Marvolo,Tom,14
736,Marvolo,Riddle,11
737,Riddle,Tom,30
738,Billy,Dumbledore,4
739,Billy,Cole,5
740,Amy,Cole,4
741,Amy,Dennis,3
742,Cole,Dennis,2
743,Cole,second,3
744,Tom,second,1
745,Cole,Merope,1
746,Dumbledore,Riddle,106
747,Riddle,three,2
748,Dennis,Dumbledore,1
749,Dennis,Harry,5
750,Riddle,second,3
751,Gwenog,Hermione,3
752,Gwenog,Ron,3
753,Cho,Ron,13
754,Cho,Hermione,1
755,Fleur,second,1
756,Katie,Slughorn,3
757,Katie,Slytherin,6
758,Slytherin,one,2
759,Dean,Dean,5
760,Seamus,Seamus,14
761,Seamus,one,6
762,Hermione,Seamus,3
763,Katie,Seamus,5
764,Ginny,Seamus,1
765,Slytherin,two,3
766,Dean,Demelza,1
767,Demelza,two,4
768,Ron,Slytherin,17
769,Ginny,Slytherin,1
770,Auntie,Ginny,4
771,Auntie,Harry,5
772,Cho,Ginny,4
773,Ginny,Viktor,4
774,Ron,Viktor,11
775,Cho,Viktor,1
776,Norris,Ron,5
777,Harry,Norris,10
