,source,target,value
549,Ariana,Rita,7
550,Auntie,Percival,3
551,Auntie,Barry,1
552,Barry,Percival,3
553,Barry,Dumbledore,4
554,Harry,Lily,75
555,James,Lily,32
556,Dumbledore,James,18
557,Viktor,one,1
558,Luna,Viktor,6
559,Hermione,Muggle,10
560,Ron,Snape,46
561,Hermione,Snape,8
562,Hermione,three,37
563,Ron,Thorfinn,4
564,Rowle,Thorfinn,4
565,Harry,Rowle,11
566,three,three,14
567,Sirius,Snape,10
568,Ron,Severus,4
569,Severus,three,1
570,Snape,three,3
571,Mad-Eye,Snape,5
572,Black,Harry,37
573,Black,Snape,1
574,Black,Ron,3
575,Draco,Rowle,4
576,Draco,Malfoy,21
577,Harry,Phineas,13
578,Hogwarts,Phineas,1
579,Hogwarts,one,12
580,Sirius,Slytherin,4
581,Muggle,Slytherin,11
582,Muggle,Sirius,9
583,Bathilda,one,7
584,James,Petunia,5
585,Bathilda,James,9
586,Lily,second,7
587,second,second,1
588,Bathilda,second,3
589,Percy,second,5
590,Harry,Percy,48
591,Harry,Regulus,22
592,Regulus,Ron,6
593,Harry,Slytherin,47
594,Harry,Kreacher,299
595,Sirius,two,5
596,Kreacher,Sirius,10
597,Kreacher,Kreacher,34
598,Hermione,Sirius,5
599,Kreacher,Weasley,8
600,Kreacher,Ron,43
601,Kreacher,Mundungus,29
602,Black,Muggle,5
603,Kreacher,Muggle,1
604,Kreacher,one,27
605,Hermione,Kreacher,22
606,Harry,Narcissa,32
607,Bellatrix,Kreacher,4
608,Kreacher,Narcissa,3
609,Black,Kreacher,7
610,Dumbledore,Kreacher,8
611,Hagrid,Kreacher,5
612,Kreacher,two,6
613,one,two,29
614,Kreacher,Severus,1
615,Albus,Severus,12
616,Lupin,Nymphadora,1
617,Nymphadora,one,4
618,Nymphadora,Ron,3
619,Hermione,Lupin,31
620,Lupin,Rita,1
621,Ministry,Muggle,10
622,Lupin,Muggle,8
623,Lupin,two,6
624,Lupin,Ministry,1
625,Hogwarts,Lupin,7
626,Harry,Wizard,17
627,Dumbledore,Remus,6
628,Remus,Ron,1
629,Remus,Tonks,2
630,Lupin,three,5
631,James,Ron,4
632,Dumbledore,Percival,7
633,Ariana,Percival,7
634,Aberforth,Kendra,7
635,Kendra,Percival,8
636,Harry,Percival,5
637,Bathilda,Percival,1
638,Bathilda,two,4
639,Bathilda,Kendra,15
640,Kendra,two,5
641,Ariana,two,14
642,Kreacher,Lupin,3
643,Lupin,second,6
644,Kreacher,second,4
645,Hermione,Mundungus,3
646,Mundungus,Ron,1
647,Kreacher,Regulus,3
648,Alecto,Muggle,5
649,Alecto,Amycus,8
650,Amycus,Muggle,5
651,Amycus,Snape,4
652,Kreacher,Snape,3
653,Ginny,Neville,43
654,Luna,Neville,36
655,Luna,Snape,18
656,Phineas,one,6
657,Ministry,Umbridge,2
658,Ron,Umbridge,19
659,Harry,Umbridge,117
660,Ministry,two,1
661,Umbridge,two,14
662,Dolores,Umbridge,3
663,Dolores,two,2
664,Dolores,Harry,5
665,Hermione,Hermione,20
666,Cedric,Harry,7
667,Gregorovitch,Gregorovitch,12
668,Lupin,Sirius,11
669,Gregorovitch,Lupin,4
670,Harry,Mafalda,26
671,Mafalda,Mafalda,1
672,Mafalda,second,6
673,Mafalda,Ron,3
674,Hermione,Mafalda,11
675,Cattermole,Ron,45
676,Cattermole,Harry,97
677,Harry,Runcorn,50
678,Dolores,twenty,4
679,Cattermole,twenty,4
680,Cattermole,Dumbledore,1
681,Cattermole,Yaxley,35
682,Ron,Yaxley,26
683,Hermione,Yaxley,18
684,Cattermole,two,4
685,Umbridge,Yaxley,45
686,Albert,Ron,4
687,Albert,Harry,26
688,Albert,Yaxley,1
689,Dirk,Ron,3
690,Albert,Dirk,4
691,Dirk,Harry,38
692,Hermione,Umbridge,11
693,Mafalda,Umbridge,12
694,Mafalda,one,2
695,Umbridge,one,2
696,Mafalda,two,1
697,Albert,Umbridge,1
698,Albert,Mafalda,3
699,Runcorn,Umbridge,8
700,Runcorn,second,1
701,Arthur,Pius,3
702,Harry,Pius,3
703,Muggle,one,2
704,Umbridge,Weasley,1
705,Armando,Harry,7
706,Armando,two,2
707,Krum,two,4
708,Dumbledore,Umbridge,1
709,Wakanda,Weasley,9
710,Harry,Wakanda,2
711,Bernie,Harry,4
712,Bletchley,Weasley,4
713,Bernie,Weasley,3
714,Bletchley,Ron,4
715,Arthur,Bletchley,1
716,Percy,Percy,8
717,Percy,Weasley,9
718,Runcorn,Weasley,19
719,Dirk,Runcorn,2
720,Dirk,Weasley,3
721,Percy,Runcorn,2
722,Arthur,Runcorn,3
723,Mafalda,Runcorn,6
724,Hermione,Runcorn,3
725,Cattermole,one,5
726,Cattermole,Umbridge,34
727,Cattermole,Mary,7
728,Mary,Umbridge,7
729,Cattermole,Cattermole,4
730,Alfred,Cattermole,5
731,Alfred,Umbridge,4
732,Alfred,Harry,1
733,Umbridge,Umbridge,5
734,Cattermole,Hermione,19
735,Cattermole,Mafalda,1
736,Selwyn,Umbridge,1
737,Cattermole,Selwyn,1
738,Ron,Runcorn,5
739,Cattermole,Runcorn,1
740,Runcorn,Yaxley,1
741,Muggle,Runcorn,3
742,Albert,one,1
743,Mary,Ministry,4
744,Cattermole,Ministry,1
745,Muggle,Yaxley,6
746,Cattermole,Muggle,3
747,Hagrid,Hogwarts,6
748,Mafalda,three,2
749,Kreacher,Yaxley,6
750,Kreacher,Ministry,5
751,Dumbledore,Gregorovitch,3
752,Gregorovitch,second,3
753,Gregorovitch,Hermione,6
754,Hermione,Hogwarts,1
755,Borgin,Hogwarts,12
756,Borgin,Dumbledore,4
757,Borgin,Harry,12
758,Burke,Harry,1
759,Borgin,Ron,3
760,Borgin,Burke,4
761,Burke,Ron,4
762,Hogwarts,Ministry,6
763,Griphook,two,27
764,Gornuk,Griphook,9
765,Gornuk,Harry,3
766,Griphook,Ted,32
767,Dean,Muggle,12
768,Dean,Dean,1
769,Dean,Ted,12
770,Dirk,Ted,40
771,Ted,two,6
772,Dean,Gornuk,13
773,Dean,Dirk,12
774,Dean,one,3
775,Griphook,one,16
776,Dirk,Griphook,7
777,Dean,Harry,55
778,Griphook,Harry,367
779,Hermione,Ted,4
780,Dirk,Snape,6
781,Snape,Ted,10
782,Dirk,Hermione,1
783,Bill,Ted,2
784,Bill,Dirk,4
785,Griphook,Wizard,1
786,Ted,Wizard,3
787,Gornuk,Ted,2
788,Dirk,Gornuk,6
789,Dean,Ginny,5
790,Dirk,Dumbledore,3
791,Dumbledore,Ted,4
792,Ted,one,7
793,Dirk,one,10
794,Dirk,Ministry,8
795,Ministry,Ted,1
796,Snape,Weasley,5
797,Longbottom,Weasley,5
798,Longbottom,Neville,6
799,Longbottom,Luna,1
800,Hagrid,Luna,4
801,Harry,Neville,210
802,Hagrid,Neville,5
803,Hagrid,Snape,2
804,Hogwarts,Muggle,3
805,Ginny,Hogwarts,5
806,Albus,Snape,7
807,George,two,7
808,Slytherin,Snape,23
809,Ginny,Slytherin,4
810,Ginny,Umbridge,1
811,Umbridge,three,5
812,Snape,Umbridge,5
813,Snape,second,19
814,Harry,McGonagall,176
815,Bathilda,Godric,11
816,Bowman,Godric,6
817,Bowman,Harry,1
818,Bathilda,Ron,7
819,Bathilda,Hermione,30
820,James,one,6
821,Bathilda,Lily,2
822,Harry,Peeves,12
823,Peeves,Ron,8
824,Dumbledore,Peeves,3
825,Abbott,Harry,13
826,Abbott,Hannah,6
827,Hannah,Harry,4
828,Hannah,two,1
829,Abbott,Dumbledore,1
830,Bathilda,Gregorovitch,8
831,Hermione,Nagini,5
832,Albus,Gellert,23
833,Gellert,Hermione,3
834,British,Dumbledore,6
835,British,Harry,2
836,British,Kendra,1
837,Bathilda,Ivor,6
838,Ivor,Kendra,2
839,Bathilda,Gellert,9
840,Gellert,one,1
841,Dumbledore,Gellert,14
842,Gellert,Gellert,2
843,Gellert,Wizard,4
844,Dumbledore,Wizard,4
845,Muggle,Wizard,1
846,Gellert,Portkey,4
847,Albus,Portkey,5
848,Gellert,Kendra,4
849,Ariana,Dark,5
850,Dark,Dumbledore,1
851,Dark,two,4
852,Albus,Rita,3
853,Muggle,Rita,3
854,Gellert,Harry,6
855,Hedwig,Sirius,3
856,Riddle,Ron,17
857,Nagini,Ron,7
858,Riddle,two,5
859,Harry,Snatchers,38
860,Ron,Snatchers,23
861,Hermione,Snatchers,2
862,Ron,Stan,15
863,Muggle,Stan,2
864,Stan,two,4
865,Hermione,Portkey,1
866,Dumbledore,Xenophilius,4
867,Beedle,Dumbledore,1
868,Albus,Beedle,6
869,Lovegood,Viktor,1
870,Dumbledore,Viktor,3
871,Dumbledore,Lovegood,6
872,Hermione,Lovegood,10
873,Lovegood,Ron,13
874,Luna,two,10
875,Celestina,Fleur,3
876,Celestina,Ron,3
877,Lovegood,three,3
878,Xenophilius,three,21
879,Bill,Xenophilius,4
880,Xenophilius,Xenophilius,15
881,Fleur,Xenophilius,2
882,Hermione,Luna,13
883,Hermione,Xenophilius,41
884,Fleur,second,1
885,Harry,Rowena,14
886,Hermione,Rowena,1
887,Fleur,Lovegood,4
888,Bill,Lovegood,2
889,Dark,Ron,5
890,Death,Harry,30
891,Death,three,9
892,Death,second,11
893,Death,Death,1
894,Death,Ron,1
895,Death,Xenophilius,1
896,Death,two,3
897,Xenophilius,two,5
898,Granger,Lovegood,2
899,Granger,one,3
900,Xenophilius,one,15
901,Egbert,Xenophilius,5
902,Egbert,Emeric,5
903,Egbert,Godelot,1
904,Godelot,Hereward,3
905,Emeric,Hereward,2
906,Barnabas,Hereward,3
907,Emeric,Godelot,2
908,Barnabas,Godelot,1
909,Barnabas,Harry,3
910,Harry,Hereward,1
911,Livius,Ron,1
912,Livius,Xenophilius,2
913,Harry,Livius,4
914,Lovegood,Peverell,6
915,Harry,Peverell,16
916,Peverell,Xenophilius,2
917,Ignotus,Xenophilius,3
918,Peverell,three,4
919,Antioch,Peverell,3
920,Antioch,Cadmus,4
921,Ignotus,Ron,3
922,Antioch,three,2
923,Cadmus,Ignotus,4
924,Cadmus,Peverell,1
925,Harry,Ignotus,13
926,Antioch,Ignotus,1
927,one,three,13
928,Lovegood,one,6
929,Xenophilius,second,7
930,Selwyn,Xenophilius,8
931,Selwyn,second,9
932,Luna,second,6
933,Lovegood,Selwyn,5
934,Snatchers,Stan,2
935,Cedric,second,1
936,Peverell,Ron,2
937,Godric,Peverell,4
938,Godric,one,3
939,Godric,Kreacher,1
940,Ministry,Peverell,13
941,Marvolo,Ministry,2
942,Peverell,one,5
943,Marvolo,Peverell,4
944,Marvolo,Ron,8
945,Dumbledore,Marvolo,5
946,Harry,Marvolo,9
947,Gaunt,Ron,4
948,Gaunt,Peverell,5
949,Gaunt,Marvolo,4
950,Gaunt,Harry,8
951,Dumbledore,Ignotus,16
952,Hermione,Lily,5
953,Lily,Ron,3
954,Harry,Lee,38
955,Lee,two,3
956,Dirk,Lee,1
957,Lee,Ted,4
958,Gornuk,Ron,5
959,Gornuk,Muggle,5
960,Dean,second,6
961,Tonks,second,5
962,Cresswell,Tonks,4
963,Cresswell,Gornuk,5
964,Cresswell,second,1
965,Gornuk,Tonks,1
966,Bathilda,Ted,2
967,Bathilda,Dirk,5
968,Bathilda,Gornuk,5
969,Gornuk,Hermione,4
970,Hermione,Lee,1
971,Lee,Royal,13
972,Muggle,Royal,8
973,Lee,Muggle,2
974,Kingsley,Lee,5
975,Kingsley,Royal,3
976,Lee,Romulus,11
977,Romulus,Ron,5
978,Lee,Lupin,5
979,Bill,Lee,1
980,Lee,Xenophilius,1
981,Lupin,Xenophilius,4
982,Hagrid,Lee,3
983,Hogwarts,Lee,2
984,Hagrid,Romulus,2
985,Harry,Romulus,3
986,Fred,Kingsley,2
987,Fred,Lee,7
988,Fred,Severus,4
989,Lee,Severus,1
990,Rapier,Severus,3
991,Lee,Rapier,4
992,Ron,Vernon,1
993,Scabior,Vernon,7
994,Ron,Scabior,13
995,Scabior,Stan,7
996,Harry,Scabior,37
997,Penelope,Scabior,1
998,Harry,Penelope,4
999,Dean,Hermione,5
1000,Dean,Snatchers,7
1001,Scabior,three,4
1002,Dumbledore,Vernon,2
1003,Slytherin,Vernon,2
1004,Scabior,Slytherin,6
1005,Dudley,Scabior,4
1006,Dean,Ron,47
1007,Dean,Griphook,11
1008,Griphook,Scabior,5
1009,Dean,Scabior,1
1010,Hermione,Vernon,3
1011,Draco,Snatchers,4
1012,Draco,Hermione,11
1013,Granger,Snatchers,2
1014,Draco,Granger,4
1015,Lucius,Weasley,4
1016,Lucius,Ron,13
1017,Draco,Ron,25
1018,Granger,Lucius,4
1019,Lucius,Mark,8
1020,Bellatrix,Mark,6
1021,Harry,Mark,17
1022,Bellatrix,Malfoy,1
1023,Draco,Snape,7
1024,Bellatrix,Ron,50
1025,Ollivander,Ron,7
1026,Luna,Ollivander,21
1027,Harry,Ollivander,30
1028,Dean,Luna,75
1029,Bellatrix,Luna,9
1030,Bellatrix,Dean,1
