,source,target,value
515,Hagrid,Lucius,1
516,Harry,Lucius,12
517,Buckbeak,Ron,28
518,Buckbeak,Hermione,26
519,Fang,one,4
520,Fang,Ron,1
521,Buckbeak,three,8
522,Dumbledore,Malfoy,9
523,Ron,Seamus,11
524,McGonagall,Snape,9
525,Dumbledore,two,5
526,Hermione,Snape,1
527,Lupin,McGonagall,10
528,Harry,Minerva,5
529,Lupin,Minerva,4
530,Lupin,Wood,5
531,Oliver,Ron,3
532,Hagrid,Lupin,14
533,James,Lupin,19
534,Slytherin,Wood,14
535,Wood,second,4
536,Ernie,Muggle,6
537,Lupin,Sirius,38
538,Black,Lupin,13
539,Fred,Goyle,5
540,Wood,one,5
541,Cho,Ron,3
542,Cho,Harry,43
543,Wood,Wood,2
544,George,Wood,8
545,Crookshanks,one,6
546,Cedric,Penelope,1
547,Penelope,Penelope,4
548,Lee,Weasley,8
549,Harry,Lee,16
550,Harry,Jordan,9
551,Jordan,McGonagall,10
552,Jordan,Lee,1
553,Jordan,Katie,7
554,Katie,Katie,2
555,Alicia,Cho,1
556,Cho,Katie,3
557,Katie,one,3
558,George,second,6
559,Cho,one,4
560,Cho,Cho,1
561,Fred,Katie,1
562,Hagrid,Penelope,1
563,Hagrid,Seamus,2
564,Lupin,Marcus,1
565,Marcus,Slytherin,4
566,Harry,Marcus,8
567,Malfoy,Marcus,1
568,Goyle,McGonagall,4
569,George,Goyle,2
570,Angelina,George,13
571,Dean,one,2
572,Black,McGonagall,4
573,Black,Sirius,1
574,Neville,Slytherin,3
575,Hagrid,Neville,2
576,Buckbeak,two,6
577,Hagrid,two,9
578,Ron,Zonko,10
579,Hermione,Zonko,2
580,one,one,2
581,Neville,Severus,3
582,Severus,one,6
583,George,Zonko,5
584,Goyle,one,4
585,Goyle,Goyle,1
586,Crabbe,Ron,4
587,Malfoy,second,5
588,Sirius,Snape,16
589,Zonko,Zonko,4
590,Snape,Zonko,4
591,Harry,Wormtail,5
592,Snape,Wormtail,3
593,Lupin,Severus,39
594,Lupin,Wormtail,4
595,Wormtail,one,4
596,Severus,Zonko,1
597,Lupin,Zonko,2
598,Severus,Severus,1
599,Hermione,Slytherin,3
600,Hermione,Parvati,4
601,Granger,one,6
602,Parvati,one,1
603,Buckbeak,Lupin,6
604,Charlie,Harry,4
605,Charlie,second,1
606,Charlie,Ron,5
607,George,Katie,9
608,Neville,Wood,4
609,Malfoy,Neville,5
610,Cho,Malfoy,1
611,Slytherin,two,10
612,Slytherin,Snape,4
613,Lee,Snape,3
614,Weasley,Wood,6
615,Hogwarts,Wood,5
616,Hogwarts,Lee,4
617,Hogwarts,Slytherin,2
618,Slytherin,Slytherin,5
619,Lee,Slytherin,4
620,Lee,Malfoy,15
621,Flint,Harry,11
622,Alicia,Malfoy,13
623,Alicia,Slytherin,17
624,Alicia,Warrington,10
625,Slytherin,Warrington,8
626,Angelina,Montague,11
