,source,target,value
619,George,Kenneth,1
620,George,three,12
621,Bill,Hogwarts,3
622,Cho,Snape,25
623,Cedric,Cho,21
624,Cho,Ron,83
625,Cedric,Snape,10
626,Cedric,second,9
627,Snape,second,10
628,O.W.L.,Snape,18
629,Neville,O.W.L.,6
630,Neville,Snape,21
631,Harry,O.W.L.,27
632,Hermione,Seamus,6
633,Draco,Snape,31
634,Goyle,Harry,45
635,Goyle,Snape,3
636,Snape,three,29
637,Seamus,Snape,7
638,Harry,Inigo,3
639,Umbridge,three,38
640,Wilbert,three,5
641,Umbridge,Wilbert,16
642,Hermione,Hermione,8
643,Granger,Hermione,3
644,Granger,Umbridge,15
645,Granger,three,1
646,Granger,Harry,7
647,Dean,Umbridge,32
648,Dean,Dean,5
649,Dean,Lupin,7
650,Dark,Lupin,8
651,Lupin,Umbridge,12
652,Dark,Umbridge,12
653,Dark,Dean,5
654,Dean,Parvati,17
655,Parvati,Umbridge,20
656,Harry,Lavender,15
657,Neville,Umbridge,35
658,Dark,Harry,19
659,Dark,one,6
660,Cedric,Umbridge,3
661,McGonagall,Peeves,15
662,Peeves,two,9
663,McGonagall,two,22
664,Harry,Peeves,40
665,McGonagall,one,32
666,McGonagall,McGonagall,29
667,Dolores,McGonagall,2
668,Dolores,Harry,12
669,Hermione,McGonagall,13
670,Cedric,Dumbledore,7
671,Cedric,Hermione,7
672,O.W.L.,Ron,4
673,Crookshanks,O.W.L.,2
674,George,Lee,39
675,Hermione,Lee,11
676,one,second,19
677,Merlin,two,4
678,Merlin,Ron,10
679,McGonagall,O.W.L.,12
680,O.W.L.,O.W.L.,1
681,Longbottom,O.W.L.,1
682,Longbottom,Neville,55
683,Longbottom,McGonagall,9
684,Hagrid,Hagrid,52
685,Pansy,two,6
686,Parvati,two,3
687,Hagrid,Parvati,20
688,Granger,Hagrid,3
689,Hagrid,Malfoy,52
690,Goyle,Hagrid,9
691,Crabbe,two,5
692,Crabbe,Hagrid,1
693,Crabbe,Goyle,4
694,Hagrid,one,30
695,Luna,Parvati,17
696,Lavender,Luna,1
697,Ginny,Lavender,1
698,Ernie,Luna,3
699,Dumbledore,Ernie,4
700,Ernie,Ernie,14
701,Ernie,Ron,25
702,Angelina,Umbridge,18
703,Angelina,Ron,90
704,McGonagall,three,26
705,Gilderoy,three,4
706,Gilderoy,Lupin,4
707,Umbridge,second,19
708,Angelina,second,1
709,McGonagall,Snape,18
710,Lachlan,Snape,1
711,Lachlan,Ron,3
