,character,firstname
1538,The Grey Lady,The
1539,Helena Ravenclaw,Helena
1540,Rowena Ravenclaw,Rowena
1541,Rawya Zaghloul,Rawya
1542,Receptionist,Receptionist
1543,Red,Red
1544,Reginald Cattermole,Reginald
1545,Regulus Black,Regulus
1546,Regulus Black ,Regulus
1547,Regulus Moonshine,Regulus
1548,Remus Lupin,Remus
1549,Iefan Rice,Iefan
1550,and Riddle,and
1551,Delphi,Delphi
1552,Riddle family,Riddle
1553,Tom Marvolo Riddle,Tom
1554,Rionach Sayre,Rionach
1555,Rionach Steward,Rionach
1556,Ripper,Ripper
1557,Rita Skeeter,Rita
1558,Ritchie Coote,Ritchie
1559,River,River
1560,Oliver Rivers,Oliver
1561,Robert Grimsditch,Robert
1562,Robert Hilliard,Robert
1563,"Robert McGonagall, The Reverend",Robert
1564,"Robert McGonagall, Jr.",Robert
1565,Roberts,Roberts
1566,Roberts,Roberts
1567,two Roberts children,two
1568,Demelza Robins,Demelza
1569,Berthilde Roche,Berthilde
1570,Roddy Pontner,Roddy
1571,Rodent,Rodent
1572,Roderick Plumpton,Roderick
1573,Rodolphus Lestrange,Rodolphus
1574,Roger Davies,Roger
1575,Roger Davies' Girlfriend,Roger
1576,Roger Malone,Roger
1577,Roland Kegg,Roland
1578,Rolf Scamander,Rolf
1579,Romilda ,Romilda
1580,Romilda Vane,Romilda
1581,Romilda Vane's grandmother,Romilda
1582,Romulus,Romulus
1583,Ron Weasley,Ron
1584,Ronan,Ronan
1585,Augustus Rookwood,Augustus
1586,Roonil Wazlib,Roonil
1587,Rosalind Antigone Bungs,Rosalind
1588,Rose Granger-Weasley,Rose
1589,Rose Zeller,Rose
1590,Evan Rosier,Evan
1591,Rosier family,Rosier
1592,Madam Rosmerta,Madam
1593,Rowle,Rowle
1594,Damocles Rowle,Damocles
1595,Euphemia Rowle,Euphemia
1596,Rowle family,Rowle
1597,Thorfinn Rowle,Thorfinn
1598,J. K. Rowling,J.
1599,Roxanne Weasley,Roxanne
1600,Royal,Royal
1601,Royden Poke,Royden
1602,Royston Idlewind,Royston
1603,Rubeus Hagrid,Rubeus
1604,Ruby,Ruby
1605,Rudolf Brand,Rudolf
1606,Rudolph Spielman,Rudolph
1607,Grugwyn Rufford,Grugwyn
1608,Rufus Fudge,Rufus
1609,Rufus Scrimgeour,Rufus
1610,Runcorn,Runcorn
1611,Albert Runcorn,Albert
1612,Rupert 'Axebanger' Brookstanton,Rupert
1613,Rutherford Poke,Rutherford
1614,Barry Ryan,Barry
1615,Ryuichi Yamaguchi,Ryuichi
1616,Sacharissa Tugwood,Sacharissa
1617,Sally-Anne Perks,Sally-Anne
1618,Sally Smith,Sally
1619,Sam,Sam
1620,Samson Wiblin,Samson
1621,Samuel Equiano,Samuel
1622,Samuel Plunkett,Samuel
1623,Samuel G. Quahog,Samuel
1624,Sanguini,Sanguini
1625,Joshua Sankara,Joshua
1626,Rafael Santos,Rafael
1627,Selina Sapworthy,Selina
1628,Noriko Sato,Noriko
1629,Professor Saul Croaker,Professor
1630,Savage,Savage
1631,Almerick Sawbridge,Almerick
1632,Queen Victoria,Queen
1633,Sayre Family,Sayre
1634,Scabbers,Scabbers
1635,Scabior,Scabior
1636,Scamander family,Scamander
1637,Tina Goldstein,Tina
1638,Newt Scamander,Newt
1639,Rolf Scamander,Rolf
1640,Theseus Scamander,Theseus
1641,Scarpin,Scarpin
1642,Scorpius Malfoy,Scorpius
1643,Screaming Bogey of Strathtully,Screaming
1644,Brutus Scrimgeour,Brutus
1645,Rufus Scrimgeour,Rufus
1646,Scrivenshaft,Scrivenshaft
1647,Seamus Finnigan,Seamus
1648,Selwyn,Selwyn
1649,Selwyn family,Selwyn
1650,Septimus Malfoy,Septimus
1651,Septimus Weasley,Septimus
1652,Seraphina Picquery,Seraphina
1653,Sgt. Fisher,Sgt.
1654,Shacklebolt family,Shacklebolt
1655,Kingsley Shacklebolt,Kingsley
1656,Shafiq family,Shafiq
1657,Shanice Higgins,Shanice
1658,Henry Shaw,Henry
1659,Henry Shaw Jr.,Henry
1660,Langdon Shaw,Langdon
1661,Shikoba Wolfe,Shikoba
1662,Derwent Shimpling,Derwent
1663,Gaspard Shingleton,Gaspard
1664,Shintaro Shingo,Shintaro
1665,Sidney Todd,Sidney
1666,Sigrid Kristoffersen,Sigrid
1667,Silvanus Kettleburn,Silvanus
1668,Tony Silva,Tony
1669,Silvio Astolfi,Silvio
1670,Narinder Singh,Narinder
1671,Professor Sinistra,Professor
1672,Sir Cadogan,Sir
1673,Sir Herbert Varney,Sir
1674,Sirius Black,Sirius
1675,Sirius Black ,Sirius
1676,Sirius Black ,Sirius
1677,Sirius' Grandfather ,Sirius'
1678,Sir Luckless,Sir
1679,Sir Patrick Delaney-Podmore,Sir
1680,several sixth-year girls who form an unofficial Krum fan club,several
1681,Rita Skeeter,Rita
1682,Skender,Skender
1683,Harold Skively,Harold
1684,Skowers,Skowers
1685,Wilbert Slinkhard,Wilbert
1686,Jack Sloper,Jack
1687,Slughorn family,Slughorn
1688,Horace Slughorn,Horace
1689,Salazar Slytherin,Salazar
1690,The Slytherin Squib,The
1691,Slytherin fifth-year,Slytherin
1692,Darius Smackhammer,Darius
1693,Enid Smeek,Enid
1694,Smeltings school nurse,Smeltings
1695,Hippocrates Smethwyck,Hippocrates
1696,Leopoldina Smethwyk,Leopoldina
1697,Zacharias Smith's father,Zacharias
1698,Hepzibah Smith,Hepzibah
1699,Zacharias Smith,Zacharias
1700,Elizabeth Smudgling,Elizabeth
1701,Georgina Smyth,Georgina
1702,Eileen Prince Snape,Eileen
1703,Snape family,Snape
1704,Severus Snape,Severus
1705,Tobias Snape,Tobias
1706,Snatchers,Snatchers
1707,Barnaby Snell,Barnaby
1708,Snickerton,Snickerton
1709,Snowy,Snowy
1710,Joseph Snuka,Joseph
1711,Leticia Somnolens,Leticia
1712,Son of Dorea and Charlus Potter,Son
1713,Sophie Roper,Sophie
1714,Sorting Hat,Sorting
1715,Catullus Spangle,Catullus
1716,Sparky,Sparky
1717,"Faris ""Spout-hole"" Spavin",Faris
1718,Leonard Spencer-Moon,Leonard
1719,Rudolph Spielman,Rudolph
1720,Oddvar Spillum,Oddvar
1721,Alicia Spinnet,Alicia
1722,Helbert Spleen,Helbert
1723,Phyllida Spore,Phyllida
1724,Pomona Sprout,Pomona
1725,Able Spudmore,Able
1726,Spudmore family,Spudmore
1727,Randolph Spudmore,Randolph
1728,Erica Stainwright,Erica
1729,Blenheim Stalk,Blenheim
1730,Stamford Jorkins,Stamford
1731,Stan Shunpike,Stan
1732,Stebbins,Stebbins
1733,Stebbins ,Stebbins
1734,Stephen Cornfoot,Stephen
1735,James Steward,James
1736,Stewart Ackerley,Stewart
1737,St. Mungo,St.
1738,Stoyanka Grozda,Stoyanka
1739,Ballyfumble Stranger,Ballyfumble
1740,Miriam Strout,Miriam
1741,Billy Stubbs,Billy
1742,Stubby Boardman,Stubby
1743,Stubby Lamont,Stubby
1744,student who was accidentally Transfigured into a badger,student
1745,students,students
1746,Grogan Stump,Grogan
1747,Sturgis Podmore,Sturgis
1748,Sudanese Obscurial,Sudanese
1749,Sue Li,Sue
1750,Su Li,Su
1751,Felix Summerbee,Felix
1752,Summerby,Summerby
1753,Summers,Summers
1754,Summers,Summers
1755,Susan Blancheflower,Susan
1756,Susan Bones,Susan
1757,Havelock Sweeting,Havelock
1758,Emeric Switch,Emeric
1759,Sybill Trelawney,Sybill
1760,Jocunda Sykes,Jocunda
1761,Sylvian Boigny,Sylvian
1762,Sylvian Jolicoeur,Sylvian
1763,Symposia Rawle,Symposia
1764,Syna Hyslop,Syna
1765,Tangwystl ,Tangwystl
1766,Tarquin McTavish,Tarquin
1767,Tatting,Tatting
1768,Ted,Ted
1769,Teddy Lupin,Teddy
1770,Tenebrus,Tenebrus
