,letter,character
530,E,Egmont Elvert Hobday
531,E,Eileen Prince Snape
532,E,Ekrizdis
533,E,elderly committee member of the Committee for the Disposal of Dangerous Creatures
534,E,Eldon Elsrickle
535,E,Eldred Worple
536,E,Eldritch Diggory
537,E,Eleanor Branstone
538,E,Elfric the Eager
539,E,Elfrida Clagg
540,E,Elfrida Cragg
541,E,Eliana
542,E,Elias Grimstone
543,E,Elias Story
544,E,Elizabeth McGilliguddy
545,E,Elizabeth Smudgling
546,E,Queen Elizabeth I
547,E,Elveira Elkins
548,E,Elladora Black (1850)
549,E,Elladora Black (aunt of Sirius)
550,E,Elladora Guffy
551,E,Elladora Ketteridge
552,E,Ellen Cracknell
553,E,Ellerby
554,E,Ellie Cattermole
555,E,Elliot Smethwyck
556,E,Elodie Dembélé
557,E,Eloise Midgen/Eloise Midgeon
558,E,Elphias Doge
559,E,Elphinstone Urquart
560,E,Elsie
561,E,Elsie Prod
562,E,Emeric the Evil
563,E,Emeric Switch
564,E,Emily Rappaport
565,E,Emma Dobbs
566,E,Emmeline Vance
567,E,Enid Smeek
568,E,Samuel Equiano
569,E,Erica Stainwright
570,E,Eric Munch
571,E,Eric Whalley
572,E,Ernie Macmillan
573,E,Ernie Prang
574,E,Errol
575,E,Mrs. Esposito
576,E,Ethelbald Mordaunt
577,E,Ethelred the Ever-Ready
578,E,Euan Abercrombie
579,E,Eugenia Jenkins
580,E,Eulalie Hicks
581,E,Eunice Murray
582,E,Euphemia Potter
583,E,Euphemia Rowle
584,E,Eupraxia Mole
585,E,Eurig Cadwallader
586,E,Evangeline Orpington
587,E,Evan Rosier
588,E,Mr. Evans
589,E,Mrs. Evans
590,E,Evans family
591,E,Everard
592,E,Archer Evermonde
593,F,Fabian Prewett
594,F,Fabius Watkins
595,F,Falco Aesalon
596,F,Perpetua Fancourt
597,F,Fang
598,F,"Faris ""Spout-hole"" Spavin"
599,F,Gemma Farley
600,F,The Fat Friar
601,F,The Fat Lady
602,F,Franziska Faust
603,F,Miss S. Fawcett
604,F,Fawcett family
605,F,Fawkes
606,F,Fawley family
607,F,Hector Fawley
608,F,Felix Summerbee
609,F,Fenrir Greyback
610,F,Benjy Fenwick
611,F,Mervyn Fenwick
612,F,Ferdinand Jägendorf
613,F,Fergus
614,F,Fernando Diaz
615,F,Fifi LaFolle
616,F,Mrs. Figg
617,F,Argus Filch
618,F,Filibuster
619,F,Finbar Quigley
620,F,Mr Finch-Fletchley
621,F,Mrs. Finch-Fletchley
622,F,Finch-Fletchley family
623,F,Fingal the Fearless
624,F,Barnabus Finkley
625,F,Finn
626,F,Mr. Finnigan
627,F,Mrs. Finnigan
628,F,Finnigan family
629,F,Seamus Finnigan
630,F,Firenze
631,F,Wilhelm Fischer
632,F,Basil Flack
633,F,O'Flaherty
634,F,Ortiz O'Flaherty
635,F,Nicolas Flamel
636,F,Perenelle Flamel
637,F,Flavius Belby
638,F,Fleamont Potter
639,F,Fleetwood
640,F,Hedley Fleetwood
641,F,Able Fleming
642,F,Mundungus Fletcher
643,F,Laurentia Fletwock
644,F,Fleur Delacour
645,F,Fleur's Veela grandmother
646,F,Flint family
647,F,Josephina Flint
648,F,Marcus Flint
649,F,Filius Flitwick
650,F,Florean Fortescue
651,F,Florence
652,F,Gonçalo Flores
653,F,Darren Floyd
654,F,Fluffy
655,F,Flurry
656,F,Agilbert Fontaine
657,F,Fontaine family
658,F,Theodard Fontaine
659,F,Food Trolley Lady aboard Hogwarts Express
660,F,Dexter Fortescue
661,F,Frank
662,F,Frank Bryce
663,F,Frank Longbottom
664,F,Fred Weasley
665,F,Fred Weasley (II)
666,F,Otmar Frick
667,F,Fridwulfa
668,F,Colonel Fubster
669,F,Mrs Fudge
670,F,Cornelius Fudge
671,F,Fudge family
672,F,Rufus Fudge
673,F,Fulbert the Fearful
674,F,Dymphna Furmage
675,G,Gabrielle Delacour
676,G,Gabriel Truman
677,G,Edmund Gaddlegate
678,G,Brian Gadwilde
679,G,Galatea Merrythought
680,G,Ottaline Gambol
681,G,Gamp family
682,G,Ulick Gamp
683,G,gang of sixth-year girls susceptible to fame and glamour
684,G,gang of Slytherin girls
685,G,Garrick Ollivander
686,G,Garvin Lünger
687,G,Gaspard Shingleton
688,G,Corvinus Gaunt
689,G,Gaunt family
690,G,Marvolo Gaunt
691,G,Merope Gaunt
692,G,Morfin Gaunt
693,G,Gawain Robards
694,G,Gemma Farley
695,G,Ferdinand Jägendorf
696,G,Geoffrey Hooper
697,G,George Weasley
698,G,Georgina Smyth
699,G,Georgios Xenakis
700,G,Georgi Zdravko
701,G,Geraint Ollivander
702,G,Gerbold Octavius Ollivander
703,G,Gerda Curd
704,G,Gertie Keddle
705,G,Gervaise Ollivander
706,G,Ghost of a knight with an arrow sticking out of his forehead
707,G,Ghost of a ragged man wearing chains
708,G,Ghosts of gloomy nuns
709,G,ghouls
710,G,Gibbon
711,G,Gideon Crumb
712,G,Gideon Flatworthy
713,G,Gideon Prewett
714,G,Gifford Ollerton
715,G,Gilbert Wimple
716,G,Gilderoy Lockhart
717,G,Ginny Weasley
718,G,Gladys Boothby
719,G,Glanmore Peakes
720,G,Glenda Chittock
721,G,Glinda Crook
722,G,Glover Hipworth
723,G,Gnarlak
724,G,Godelot
725,G,Anthony Goldstein
726,G,Goldstein family
727,G,Queenie Goldstein
728,G,Golgomath
729,G,Goliath
730,G,Golpalott
731,G,Gonçalo Flores
732,G,Gondoline Oliphant
733,G,Arsenia Gonzales
734,G,Goodwin Kneen
735,G,Gordon
736,G,Hesphaestus Gore
737,G,Dragomir Gorgovitch
738,G,Gormlaith Gaunt
739,G,Gornuk
740,G,Goshawk family
741,G,Diadema (Goshawk?)
742,G,Miranda Goshawk (1921-)
743,G,Romilda (Goshawk?)
744,G,Tangwystl (Goshawk?)
745,G,Goyle Sr.
746,G,Goyle family
747,G,Graham Pritchard
748,G,Mr. Granger
749,G,Mrs. Granger
750,G,Granger family
751,G,Hermione Granger
752,G,Hugo Granger-Weasley
753,G,Rose Granger-Weasley
754,G,Granville Jorkins
755,G,Graves family
756,G,Gondulphus Graves
757,G,Merton Graves
758,G,Percival Graves
759,G,Grawp
760,G,Great Auntie Enid
761,G,The Great Humberto
762,G,Great Uncle Algie
763,G,Greek chappie
764,G,Astoria Greengrass
765,G,Daphne Greengrass
766,G,Greengrass family
767,G,Gregorovitch
768,G,Gregory Cotton
769,G,Gregory Goyle
770,G,Gregory the Smarmy
771,G,Greta Catchlove
772,G,Fenrir Greyback
773,G,The Grey Lady
774,G,Glynnis Griffiths
775,G,Wilda Griffiths
776,G,Grimmson
777,G,Robert Grimsditch
778,G,Elias Grimstone
779,G,Grimwold Jorkins
780,G,Gellert Grindelwald
781,G,Gringott
782,G,Griphook
783,G,Griselda Harmonia Jorkins
784,G,Griselda Marchbanks
785,G,Grizel Hurtz
786,G,Grogan Stump
787,G,group of witches from the Salem Witches' Institute
788,G,Stoyanka Grozda
789,G,Wilhelmina Grubbly-Plank
790,G,grubby-looking wizard
791,G,Grugwyn Rufford
792,G,Alberic Grunnion
793,G,Godric Gryffindor
794,G,Malodora Grymm
795,G,Davey Gudgeon
796,G,Galvin Gudgeon
797,G,Gladys Gudgeon
798,G,Elladora Guffy
799,G,Zamira Gulch
800,G,Gulliver Pokeby
801,G,Alastor Gumboil
802,G,Gunhilda of Gorsemoor
803,G,Gunhilda Kneen
804,G,Gurg
805,G,Guthrie Lochrin
806,G,Arnold Guzman
807,G,Gwendolyn Morgan
808,G,Gwenog
809,G,Gwenog Jones
810,H,Hagrid family
811,H,Hagrid's father
812,H,Hambledon Quince
813,H,Hamish MacFarlan
814,H,Hankerton Humble
815,H,Hannah Abbott
816,H,Hannah Cockleford
817,H,Hans the Augurey
818,H,"Hardwin, son of Linfred of Stinchcombe"
819,H,Darren O'Hare
820,H,Harfang Longbottom
821,H,Harfang Munter
822,H,Ciceron Harkiss
823,H,Harold Dingle
824,H,Harold Minchum
825,H,Harold Skively
826,H,Harper
827,H,Harry Potter
828,H,Harvey Ridgebit
829,H,Hassan Mostafa
830,H,Havelock Sweeting
831,H,head of the Bulgarian Department of Magical Games and Sports
832,H,Nearly-Headless Nick
833,H,Heathcote Barbary
834,H,Hector Bolobolo
835,H,Hector Dagworth-Granger
836,H,Hector Fawley
837,H,Hector Lamont
838,H,Hedley Fleetwood
839,H,Hedwig
840,H,Cornelius Agrippa
841,H,Heinrich Eberstadt
842,H,Helena Ravenclaw
843,H,The Grey Lady
844,H,Heliotrope Willis
845,H,Helmut Weiss
846,H,Hengist of Upper Barnton
847,H,Hengist of Woodcroft
848,H,King Henry VI
849,H,Henry
850,H,"Henry ""Harry"" Potter"
851,H,Henry Shaw
852,H,Henry Shaw Jr.
853,H,Hepzibah Smith
854,H,Herbert Beery
855,H,Herbert Burke
856,H,Herbert Chorley
857,H,Helbert Spleen
858,H,Hereward
859,H,Herman Junker
860,H,Herman Wintringham
861,H,Hermes
862,H,Hermione Granger
863,H,Herpo the Foul
864,H,Hesper Gamp
865,H,Hesper Starkey
866,H,Hesphaestus Gore
867,H,Hestia Jones
868,H,Hetty Bayliss
869,H,Eulalie Hicks
870,H,Shanice Higgins
871,H,Bertie Higgs
872,H,Hippocrates Smethwyck
873,H,Bob Hitchens
874,H,Hobday family
875,H,Egmont Elvert Hobday
876,H,Hilliard Hobday
877,H,Violetta Hobday
878,H,Hodrod the Horny-Handed
879,H,Hogwarts governors
880,H,Hogwarts house-elves
881,H,Hokey
882,H,Honest Willy Wagstaff
883,H,Masaki Hongo
884,H,Honoria
885,H,Honoria's fiance
886,H,Honoria Nutcombe
887,H,Madam Hooch
888,H,Daisy Hookum
889,H,Geoffrey Hooper
890,H,Mafalda Hopkirk
891,H,Hoppy
892,H,Kevin Hopwood
893,H,Horace Slughorn
894,H,Olive Hornby
895,H,Hortensia Milliphutt
896,H,Basil Horton
897,H,Hope Howell Lupin
898,H,Howland Coopey
899,H,Helga Hufflepuff
900,H,Hugo Granger-Weasley
901,H,Humphrey Belcher
902,H,Grizel Hurtz
903,H,Clairvius Hyppolite
904,H,Helixa Hyslop
905,I,Royston Idlewind
906,I,Idris Oakby
907,I,Iefan Rice
908,I,Ignatia Wildsmith
909,I,Ignatius Prewett
910,I,Ignatius Tuft
911,I,Ignotus Peverell
912,I,Igor Karkaroff
913,I,Illyius
914,I,Ingolfr the Iambic
915,I,Inigo Imago
916,I,Injured girl comforted by Ginny
917,I,Iola Black
918,I,Iolanthe Peverell
919,I,Irene Kneedander
920,I,Irish Leprechauns
921,I,Irma Crabbe
922,I,Irma Dugard
923,I,Irma Pince
924,I,Irving Warble
925,I,Isadora Rose
926,I,Isobel McGonagall
927,I,Isobel Ross
928,I,Isolt Sayre
929,I,Ivanova
930,I,Ivan Popa
931,I,Ivor Dillonsby
932,J,Jack Sloper
933,J,Josiah Jackson
934,J,Jacob Kowalski
935,J,Jacques Miskine
936,J,James Potter
937,J,James Sirius Potter
938,J,James Steward
939,J,Janus Thickey
940,J,Jarleth Hobart
941,J,Mary Jauncey
942,J,Jazz singer
943,J,Bonawentura Wójcik
944,J,Jean-Baptiste Bloncourt
945,J,Karl Jenkins
946,J,Jackie Jernigan
947,J,Leonard Jewkes
948,J,Arsenius Jigger
949,J,Jim McGuffin
950,J,Jimmy Peakes
951,J,João Coelho
952,J,Jocunda Sykes
953,J,Joey Jenkins
954,J,Johannes Jonker
955,J,John Dawlish
956,J,Angelina Johnson
957,J,Sylvian Jolicoeur
958,J,Gwenog Jones
959,J,Hestia Jones
960,J,Mr. Jordan
961,J,Jordan family
962,J,Lee Jordan
963,J,Jorkins family
964,J,Albert Jorkins
